Nome/Dono;	URL;	Linguagem Primaria;	Numero da Issue;	Titulo da Issue;	Data de Criacao da Issue;	Data de Fechamento da Issue;	Data de Criacao do Repositorio;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	1;	still handlers may not be closed properly;	2013-01-14T12:21:47Z;	2013-05-10T07:17:48Z;	2013-01-14T07:54:16Z;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	3;	app.config 未找到;	2013-03-08T00:47:39Z;	2013-03-09T05:37:01Z;	2013-01-14T07:54:16Z;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	4;	RC4;	2013-04-23T02:34:01Z;	2013-05-11T03:38:54Z;	2013-01-14T07:54:16Z;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	5;	rc4;	2013-04-29T12:32:05Z;	2013-05-06T08:03:43Z;	2013-01-14T07:54:16Z;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	7;	Problem loading pages;	2013-05-15T06:13:38Z;	2013-06-16T07:39:59Z;	2013-01-14T07:54:16Z;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	8;	support other encryption methods;	2013-05-23T11:36:06Z;	2013-06-16T07:39:21Z;	2013-01-14T07:54:16Z;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	9;	Don't crash when fail to decrypt;	2013-06-16T07:40:24Z;	2014-11-08T06:57:48Z;	2013-01-14T07:54:16Z;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	10;	rc4 and table may not work;	2013-06-16T15:39:34Z;	2013-06-16T16:13:58Z;	2013-01-14T07:54:16Z;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	11;	may not closed correctly;	2013-06-16T16:37:19Z;	2014-11-08T06:57:47Z;	2013-01-14T07:54:16Z;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	14;	Client did not Connect to Server;	2014-09-13T03:38:24Z;	2014-09-15T08:58:32Z;	2013-01-14T07:54:16Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	1;	Test Issue;	2013-09-02T17:35:27Z;	2013-09-02T17:40:37Z;	2013-07-23T22:19:57Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	3;	This is a new issue! Good Job;	2013-09-15T19:10:56Z;	2013-09-15T19:36:24Z;	2013-07-23T22:19:57Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	5;	Switch to iOS 7 UI;	2013-10-10T02:52:37Z;	2013-12-13T22:29:16Z;	2013-07-23T22:19:57Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	6;	Non-active links in issues chat;	2013-10-30T03:15:21Z;	2014-04-02T17:49:58Z;	2013-07-23T22:19:57Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	7;	Find original from forked repo;	2013-11-02T01:50:45Z;	2013-11-05T17:07:55Z;	2013-07-23T22:19:57Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	8;	Cannot edit issues on private repositories;	2013-11-04T17:03:29Z;	2013-11-06T16:40:29Z;	2013-07-23T22:19:57Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	9;	How do I give you money?;	2013-11-06T09:13:17Z;	2013-11-06T15:23:12Z;	2013-07-23T22:19:57Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	10;	Unable to login to github enterprise;	2013-11-21T18:37:08Z;	2014-01-30T19:37:02Z;	2013-07-23T22:19:57Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	11;	The font size of source code page is too small to read on ipad mini;	2013-12-14T17:26:31Z;	2013-12-24T01:42:58Z;	2013-07-23T22:19:57Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	12;	2.0.1 Breaks App - Inifinit Loads;	2013-12-21T16:36:13Z;	2013-12-24T01:39:34Z;	2013-07-23T22:19:57Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	1;	Update readme;	2016-01-15T01:16:35Z;	2016-01-20T22:04:58Z;	2016-01-13T23:41:35Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	2;	Import issues from VSO;	2016-01-15T01:17:54Z;	2016-01-22T20:53:11Z;	2016-01-13T23:41:35Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	4;	Update Jenkins;	2016-01-15T02:18:00Z;	2016-01-22T00:12:04Z;	2016-01-13T23:41:35Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	5;	Fix `help` alias;	2016-01-15T06:25:35Z;	2016-01-29T18:49:49Z;	2016-01-13T23:41:35Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	20;	Remove SecureString stub;	2016-01-21T23:13:25Z;	2016-02-08T23:28:25Z;	2016-01-13T23:41:35Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	22;	Enable multiple project.json configurations;	2016-01-21T23:16:18Z;	2016-02-03T22:54:34Z;	2016-01-13T23:41:35Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	23;	Testing VSO Import;	2016-01-22T17:42:02Z;	2016-01-22T17:50:09Z;	2016-01-13T23:41:35Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	25;	Handle infrastructure and CloseHandle;	2016-01-22T20:37:14Z;	2016-02-18T18:02:42Z;	2016-01-13T23:41:35Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	26;	monad-linux: CommandLineToArgvW (C#);	2016-01-22T20:37:15Z;	2016-01-22T20:37:15Z;	2016-01-13T23:41:35Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	27;	monad-native: CreateHardLink;	2016-01-22T20:37:15Z;	2016-02-26T04:41:58Z;	2016-01-13T23:41:35Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	6;	K pack produces error: System.NullReferenceException;	2014-04-27T14:09:23Z;	2014-05-13T15:27:31Z;	2014-03-11T06:09:42Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	7;	K Web crashes when changing to net45 CLR after having changed to CoreCLR;	2014-04-28T02:46:32Z;	2014-05-13T15:28:26Z;	2014-03-11T06:09:42Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	8;	F-Secure Virus Scanner claims 'Microsoft.CodeAnalysis.CSharp.dll' to be a virus!;	2014-05-03T13:14:44Z;	2014-11-24T10:48:02Z;	2014-03-11T06:09:42Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	15;	kpm restore fails to proceed to fallback sources when there is an error in the first listed feed;	2014-05-13T15:51:46Z;	2014-12-29T20:05:45Z;	2014-03-11T06:09:42Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	16;	System.IO.Compression.Zip Not found while installing;	2014-05-13T16:23:01Z;	2014-05-13T17:05:50Z;	2014-03-11T06:09:42Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	17;	running 'kvm setup' from Powershell results in error;	2014-05-13T16:37:30Z;	2015-03-09T18:16:35Z;	2014-03-11T06:09:42Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	18;	Why not use github issues for discussions?;	2014-05-13T19:29:09Z;	2014-05-29T18:42:46Z;	2014-03-11T06:09:42Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	20;	Unable to find type [System.IO.Compression.ZipFile] on running `kvm install 0.1-alpha-build-0421` gives error on windows 7;	2014-05-14T08:37:11Z;	2014-05-20T22:56:52Z;	2014-03-11T06:09:42Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	21;	proxy;	2014-05-14T08:40:32Z;	2014-05-20T22:38:21Z;	2014-03-11T06:09:42Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	22;	Add Whatch Files to Source;	2014-05-14T10:46:25Z;	2014-05-20T22:52:35Z;	2014-03-11T06:09:42Z;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	1;	Add Python support for the plugin system;	2013-12-22T15:29:40Z;	2014-01-12T08:36:19Z;	2013-12-19T15:49:32Z;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	2;	Add Everything Plugin;	2013-12-22T15:35:51Z;	2014-03-20T03:29:35Z;	2013-12-19T15:49:32Z;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	3;	Add ability to Search Applications;	2013-12-22T15:41:37Z;	2014-01-05T10:03:08Z;	2013-12-19T15:49:32Z;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	4;	Add Clipboard & Snippets plugin;	2013-12-22T15:45:55Z;	2014-03-02T03:51:52Z;	2013-12-19T15:49:32Z;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	5;	enable theming and add more animations;	2013-12-22T15:47:16Z;	2014-01-26T11:01:37Z;	2013-12-19T15:49:32Z;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	6;	Add Dictionary plugin;	2013-12-22T15:47:56Z;	2014-01-05T10:02:16Z;	2013-12-19T15:49:32Z;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	7;	add system related commands plugin;	2013-12-22T15:49:55Z;	2014-01-10T09:43:35Z;	2013-12-19T15:49:32Z;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	8;	Build a plugin manager insde wox;	2013-12-22T16:01:13Z;	2014-03-13T16:38:27Z;	2013-12-19T15:49:32Z;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	9;	Add search engine plugin, e.g. google search.;	2013-12-22T16:03:19Z;	2014-02-09T12:45:10Z;	2013-12-19T15:49:32Z;
