ID da Pergunta;	Quantidade de Views;	Quantidade de Respostas;	Score;	Titulo da Questao;	ID da Resposta Aceita;	Tags;	Link da Questao;
7074;	1076982;	66;	6486;	What is the difference between String and string in C#?;	7077;	c#/.net/string/types/alias/;	https://stackoverflow.com/questions/7074/what-is-the-difference-between-string-and-string-in-c;
105372;	768000;	29;	3750;	How to enumerate an enum;	105402;	c#/.net/loops/enums/enumeration/;	https://stackoverflow.com/questions/105372/how-to-enumerate-an-enum;
29482;	1379103;	28;	3173;	How to cast int to enum?;	29485;	c#/enums/casting/int/;	https://stackoverflow.com/questions/29482/how-to-cast-int-to-enum;
444798;	877915;	25;	2902;	Case insensitive &#39Contains(string)&#39;	15464440;	c#/string/contains/case-insensitive/;	https://stackoverflow.com/questions/444798/case-insensitive-containsstring;
141088;	1597628;	29;	2614;	What is the best way to iterate over a dictionary?;	141098;	c#/dictionaryloops/;	https://stackoverflow.com/questions/141088/what-is-the-best-way-to-iterate-over-a-dictionary;
247621;	344616;	11;	2521;	What are the correct version numbers for C#?;	247623;	c#/.net/visual-studio/.net-framework-version/compiler-version/;	https://stackoverflow.com/questions/247621/what-are-the-correct-version-numbers-for-c;
78536;	805146;	46;	2221;	Deep cloning objects;	78612;	c#/.netclone/;	https://stackoverflow.com/questions/78536/deep-cloning-objects;
472906;	1147994;	39;	2186;	How do I get a consistent byte representation of strings in C# without manually specifying an encoding?;	10380166;	c#/.net/string/character-encoding/;	https://stackoverflow.com/questions/472906/how-do-i-get-a-consistent-byte-representation-of-strings-in-c-without-manually;
136035;	561760;	28;	2131;	Catch multiple exceptions at once?;	136092;	c#/.net/exception/exception-handling/;	https://stackoverflow.com/questions/136035/catch-multiple-exceptions-at-once;
125319;	205608;	11;	2052;	Should &#39using&#39 directives be inside or outside the namespace?;	151560;	c#/.net/namespaces/stylecop/code-organization/;	https://stackoverflow.com/questions/125319/should-using-directives-be-inside-or-outside-the-namespace;
2706500;	2300239;	32;	1911;	How do I generate a random int number?;	2706537;	c#/random/;	https://stackoverflow.com/questions/2706500/how-do-i-generate-a-random-int-number;
151005;	1091203;	43;	1882;	How do I create an Excel (.XLS and .XLSX) file in C# without installing Microsoft Office?;	2603625;	c#/.net/excel/file-io/;	https://stackoverflow.com/questions/151005/how-do-i-create-an-excel-xls-and-xlsx-file-in-c-without-installing-microsof;
40730;	851420;	21;	1878;	What is the best way to give a C# auto-property an initial value?;	40754;	c#/constructor/getter/setter/automatic-properties/;	https://stackoverflow.com/questions/40730/what-is-the-best-way-to-give-a-c-auto-property-an-initial-value;
4660142;	1364871;	28;	1875;	What is a NullReferenceException, and how do I fix it?;	4660186;	c#/.net/vb.net/null/nullreferenceexception/;	https://stackoverflow.com/questions/4660142/what-is-a-nullreferenceexception-and-how-do-i-fix-it;
9;	609528;	61;	1859;	In C#, how do I calculate someone&#39s age based on a DateTime type birthday?;	1404;	c#/.netdatetime/;	https://stackoverflow.com/questions/9/in-c-how-do-i-calculate-someones-age-based-on-a-datetime-type-birthday;
943398;	1531471;	27;	1814;	Get int value from enum in C#;	943407;	c#/enums/casting/int/;	https://stackoverflow.com/questions/943398/get-int-value-from-enum-in-c;
8898925;	103196;	4;	1682;	Is there a reason for C#&#39s reuse of the variable in a foreach?;	8899347;	c#/foreach/lambda/scope/anonymous-methods/;	https://stackoverflow.com/questions/8898925/is-there-a-reason-for-cs-reuse-of-the-variable-in-a-foreach;
538060;	328500;	19;	1653;	Proper use of the IDisposable interface;	538238;	c#/.net/garbage-collection/idisposable/;	https://stackoverflow.com/questions/538060/proper-use-of-the-idisposable-interface;
446835;	406235;	18;	1621;	What do two question marks together mean in C#?;	446839;	c#/null-coalescing-operator/;	https://stackoverflow.com/questions/446835/what-do-two-question-marks-together-mean-in-c;
2155930;	1214661;	107;	1563;	How do I remedy the &quotThe breakpoint will not currently be hit. No symbols have been loaded for this document.&quot warning?;	2155997;	c#/.net/visual-studio/debugging/breakpoints/;	https://stackoverflow.com/questions/2155930/how-do-i-remedy-the-the-breakpoint-will-not-currently-be-hit-no-symbols-have-b;
11;	159321;	37;	1510;	Calculate relative time in C#;	1248;	c#/datetime/time/datediff/relative-time-span/;	https://stackoverflow.com/questions/11/calculate-relative-time-in-c;
983030;	994470;	14;	1506;	Type Checking: typeof, GetType, or is?;	983061;	c#/types/typeof/gettype/;	https://stackoverflow.com/questions/983030/type-checking-typeof-gettype-or-is;
8928403;	105454;	5;	1502;	Try-catch speeding up my code?;	8947323;	c#/.net/clr/try-catch/performance-testing/;	https://stackoverflow.com/questions/8928403/try-catch-speeding-up-my-code;
12051;	1031138;	11;	1496;	Calling the base constructor in C#;	12052;	c#/.net/inheritance/constructor/;	https://stackoverflow.com/questions/12051/calling-the-base-constructor-in-c;
9033;	691971;	296;	1475;	Hidden Features of C#?;	null;	c#/hidden-features/;	https://stackoverflow.com/questions/9033/hidden-features-of-c;
8447;	477507;	12;	1442;	What does the [Flags] Enum Attribute mean in C#?;	8480;	c#/enumsflags/;	https://stackoverflow.com/questions/8447/what-does-the-flags-enum-attribute-mean-in-c;
972307;	712576;	8;	1442;	How to loop through all enum values in C#?;	972323;	c#/.net/enums/language-features/;	https://stackoverflow.com/questions/972307/how-to-loop-through-all-enum-values-in-c;
371328;	368928;	14;	1440;	Why is it important to override GetHashCode when Equals method is overridden?;	371348;	c#/overridinghashcode/;	https://stackoverflow.com/questions/371328/why-is-it-important-to-override-gethashcode-when-equals-method-is-overridden;
301371;	531398;	19;	1394;	Why is Dictionary preferred over Hashtable in C#?;	301384;	c#/.net/vb.net/data-structures/;	https://stackoverflow.com/questions/301371/why-is-dictionary-preferred-over-hashtable-in-c;
21692193;	180906;	26;	1393;	Why not inherit from List&ltT&gt?;	21694054;	c#/.net/list/oop/inheritance/;	https://stackoverflow.com/questions/21692193/why-not-inherit-from-listt;
661561;	661274;	47;	1389;	How do I update the GUI from another thread?;	661706;	c#/.net/multithreading/winforms/user-interface/;	https://stackoverflow.com/questions/661561/how-do-i-update-the-gui-from-another-thread;
521298;	271094;	28;	1387;	When to use struct?;	null;	c#/struct/;	https://stackoverflow.com/questions/521298/when-to-use-struct;
755685;	378348;	17;	1383;	Static readonly vs const;	755693;	c#/constants/;	https://stackoverflow.com/questions/755685/static-readonly-vs-const;
311165;	852160;	44;	1369;	How do you convert a byte array to a hexadecimal string, and vice versa?;	311179;	c#/arrayshex/;	https://stackoverflow.com/questions/311165/how-do-you-convert-a-byte-array-to-a-hexadecimal-string-and-vice-versa;
55984;	414019;	32;	1357;	What is the difference between const and readonly in C#?;	56024;	c#/.net/const/constants/readonly/;	https://stackoverflow.com/questions/55984/what-is-the-difference-between-const-and-readonly-in-c;
119506;	173867;	18;	1316;	Virtual member call in a constructor;	119543;	c#/constructor/warnings/resharper/virtual-functions/;	https://stackoverflow.com/questions/119506/virtual-member-call-in-a-constructor;
