ID da Pergunta;	Quantidade de Views;	Quantidade de Respostas;	Score;	Titulo da Questao;	ID da Resposta Aceita;	Tags;	Link da Questao;
61883242;	10;	0;	0;	UIAutomation Events on Powershell;	null;	c#/powershell/automation/event-handling/ui-automation/;	https://stackoverflow.com/questions/61883242/uiautomation-events-on-powershell;
61880309;	31;	2;	1;	How to pass parameter to a PowerShell script using C#?;	null;	c#/powershell/;	https://stackoverflow.com/questions/61880309/how-to-pass-parameter-to-a-powershell-script-using-c;
61892890;	10;	1;	0;	Create Runspaces in separate powershell shells with System.Management;	null;	c#/.net/powershell/system.management/;	https://stackoverflow.com/questions/61892890/create-runspaces-in-separate-powershell-shells-with-system-management;
61893447;	29;	0;	0;	Is there a more efficient way of executing these Powershell commands from .NET Core?;	null;	c#/powershell/.net-core/.net-core-3.1/c#-8.0/;	https://stackoverflow.com/questions/61893447/is-there-a-more-efficient-way-of-executing-these-powershell-commands-from-net-c;
39904813;	4887;	3;	15;	Can I write PowerShell binary cmdlet with .NET Core?;	null;	c#/powershell/.net-core/cmdlets/;	https://stackoverflow.com/questions/39904813/can-i-write-powershell-binary-cmdlet-with-net-core;
61869927;	29;	0;	0;	How to use C# interfaces and extension methods in Powershell?;	null;	c#/powershell/interface/configuration/extension-methods/;	https://stackoverflow.com/questions/61869927/how-to-use-c-interfaces-and-extension-methods-in-powershell;
61852810;	18;	0;	0;	Powershell event to trigger Azure data factory Pipeline based on creation of file on local drive;	null;	c#/powershell/;	https://stackoverflow.com/questions/61852810/powershell-event-to-trigger-azure-data-factory-pipeline-based-on-creation-of-fil;
61855464;	39;	1;	1;	Executing PowerShell Function Script Through C#;	61856260;	c#/wpfpowershell/;	https://stackoverflow.com/questions/61855464/executing-powershell-function-script-through-c;
61833646;	33;	1;	0;	Unable to run powershell script in IIS hosted .net web api project;	61833700;	c#/asp.net-mvc/powershell/iis/asp.net-web-api/;	https://stackoverflow.com/questions/61833646/unable-to-run-powershell-script-in-iis-hosted-net-web-api-project;
30859038;	2640;	2;	7;	How to decrypt a string in C# which is encrypted via PowerShell;	null;	c#/.net/powershell/encryption/securestring/;	https://stackoverflow.com/questions/30859038/how-to-decrypt-a-string-in-c-which-is-encrypted-via-powershell;
