ID da Pergunta;	ID da Resposta;	Quantidade de Comentarios;	Score;	ID do Autor;	Nome do Autor;	Reputacao do Autor;
60950710;	60956684;	0;	1;	8388655;	cain a;	21;
574381;	574395;	0;	5;	52791;	Rhys Causey;	777;
27740792;	27741086;	4;	1;	829552;	ziyasal;	539;
46461869;	60340443;	0;	0;	3729611;	user3729611;	120;
37292416;	37351698;	2;	0;	6036690;	PiKos;	1166;
9422031;	9422640;	0;	2;	132845;	Fernando;	3934;
59209700;	59600806;	3;	1;	742402;	Andrus;	19813;
59383426;	59383584;	1;	0;	593045;	BitLauncher;	241;
59382811;	59383340;	2;	1;	593045;	BitLauncher;	241;
12075062;	12149659;	0;	5;	7532;	Mark Heath;	43350;
6437809;	6437832;	3;	16;	57508;	Andreas Niedermair;	18429;
56470375;	58863439;	0;	1;	157321;	Vagaus;	3784;
16134124;	16136019;	3;	2;	85371;	sehe;	301152;
57771161;	57783145;	0;	0;	2709904;	sharafi;	511;
35032645;	35123511;	0;	0;	4286720;	Allan Registos;	301;
5327672;	5327728;	3;	17;	84651;	Justin Niessner;	221567;
21293105;	21294288;	4;	8;	412426;	Alexandre Marcondes;	4988;
12994862;	13000071;	1;	1;	1703377;	Martin Baulig;	2821;
53536895;	53553693;	2;	1;	2231814;	kekekeks;	1120;
51746650;	51761372;	1;	0;	2231814;	kekekeks;	1120;
44442084;	44442504;	0;	3;	2231814;	kekekeks;	1120;
44315693;	44316050;	1;	4;	7252182;	mm8;	116830;
59309401;	59310787;	6;	1;	1092820;	Ruzihm;	13005;
58754449;	58754958;	0;	2;	1092820;	Ruzihm;	13005;
41335357;	44948904;	0;	1;	1767482;	Alper Ebicoglu;	4811;
45491524;	45540340;	0;	0;	1767482;	Alper Ebicoglu;	4811;
45047191;	45072363;	0;	2;	1767482;	Alper Ebicoglu;	4811;
44725291;	44794831;	1;	1;	94311;	Rohith;	4417;
35720742;	35722738;	0;	2;	3887264;	jsg;	1132;
61828792;	61875509;	3;	2;	1783619;	BradleyDotNET;	55910;
8053229;	8066242;	7;	30;	624089;	PCasagrande;	4570;
61820937;	61821152;	2;	3;	45967;	Mark Redman;	21206;
58394611;	58405665;	0;	1;	1115885;	Ragesh S;	4213;
50640316;	50659164;	12;	19;	1619231;	Daniel Leiszen;	1462;
26418349;	26426401;	8;	8;	177988;	Tim B James;	19209;
34586551;	34586903;	5;	0;	5742385;	Spring;	16;
14146913;	14468471;	3;	79;	330090;	Anton Shelin;	2460;
46904678;	46906849;	9;	71;	4098052;	Stephu;	2386;
15113176;	44553288;	1;	1;	5850144;	tattarrattat;	184;
61100555;	61100659;	0;	1;	2588539;	Xymanek;	1098;
34694709;	34694774;	0;	1;	null;	user5766999;	null;
22197129;	22207631;	1;	26;	719967;	halter73;	13994;
61015152;	61015731;	0;	0;	1149731;	Vladislav Furdak;	1639;
60989226;	60994265;	2;	1;	10581132;	Kiril1512;	1358;
60919918;	60948642;	0;	1;	7132550;	Michał Turczyn;	26068;
60577829;	60602355;	0;	1;	12803695;	Noob Coder;	174;
61804270;	61805775;	0;	0;	10263;	Brian Rogers;	95765;
13839865;	13840064;	0;	17;	932418;	L.B;	101395;
55503289;	55503527;	1;	3;	1663001;	DavidG;	85689;
26434738;	26442017;	0;	20;	10263;	Brian Rogers;	95765;
30220328;	30220811;	1;	18;	3744182;	dbc;	68737;
54068197;	54073894;	1;	-4;	9552507;	Arya;	37;
38671641;	38715898;	2;	31;	5610850;	Elvis Xia - MSFT;	10073;
60295119;	60295278;	2;	1;	1643676;	Athanasios Kataras;	12313;
43468332;	43651048;	0;	1;	1066829;	binh;	51;
59342999;	59344272;	0;	2;	4659694;	Kos;	527;
19360133;	19379608;	1;	11;	277089;	Exta;	654;
47869999;	47882417;	1;	1;	7460777;	Leo Liu-MSFT;	38254;
57970387;	57970547;	2;	7;	1663001;	DavidG;	85689;
32491966;	32493007;	1;	5;	3744182;	dbc;	68737;
57623761;	57655815;	1;	2;	267;	Lasse V. Karlsen;	329712;
57498019;	57530218;	1;	2;	23354;	Marc Gravell;	865748;
47379055;	47489490;	1;	4;	6556162;	japhwil;	291;
32794225;	32794295;	1;	41;	3931985;	ekostadinov;	6219;
51304256;	51306302;	3;	5;	9191057;	Jerry Liu;	14067;
56461022;	56509349;	0;	2;	4842985;	Zdeněk;	760;
56392527;	56487366;	0;	1;	44873;	Jayden;	2449;
56384991;	56385748;	0;	2;	2069;	Chris Gillum;	12192;
56190837;	56192291;	0;	0;	3302585;	RubberChickenLeader;	816;
55966212;	55975523;	0;	3;	4137916;	Jeroen Mostert;	21477;
30976835;	30977104;	1;	0;	3670954;	Mothupally;	660;
61441292;	61556657;	2;	1;	4151019;	mountain traveller;	4174;
59951017;	59955343;	0;	2;	263693;	Stephen Cleary;	336462;
58438204;	58440522;	2;	3;	634914;	howcheng;	1419;
58852615;	58867055;	1;	1;	4151019;	mountain traveller;	4174;
57712514;	57714778;	0;	1;	7694577;	rob.earwaker;	416;
56990103;	56992133;	4;	1;	208567;	Andy Skirrow;	3098;
56769241;	56779628;	0;	3;	263693;	Stephen Cleary;	336462;
40745809;	40749237;	3;	8;	4151019;	mountain traveller;	4174;
55735325;	55736882;	1;	3;	4151019;	mountain traveller;	4174;
55472412;	55489876;	1;	1;	3205479;	user3205479;	1131;
55299641;	55306422;	1;	5;	4151019;	mountain traveller;	4174;
54870415;	54873211;	0;	6;	4151019;	mountain traveller;	4174;
42952057;	43016211;	0;	14;	4151019;	mountain traveller;	4174;
44057939;	44079217;	1;	7;	4151019;	mountain traveller;	4174;
54030145;	54047578;	1;	1;	4151019;	mountain traveller;	4174;
53949950;	53976044;	0;	2;	4151019;	mountain traveller;	4174;
53958427;	53959068;	2;	2;	5233410;	Nkosi;	164660;
53906021;	53906150;	1;	6;	1663001;	DavidG;	85689;
53683688;	53696255;	2;	1;	4151019;	mountain traveller;	4174;
52598692;	52605969;	0;	1;	4151019;	mountain traveller;	4174;
51315894;	51326064;	3;	2;	4346877;	Szer;	2961;
50835992;	50844695;	1;	6;	4151019;	mountain traveller;	4174;
50817625;	50826551;	0;	3;	4151019;	mountain traveller;	4174;
50612223;	50626352;	0;	0;	1672458;	vaindil;	5942;
48769508;	48769806;	2;	3;	7339946;	JSteward;	5516;
47670390;	47671713;	1;	2;	5148649;	Scrobi;	1155;
47341598;	47356386;	0;	1;	1027020;	Karis;	175;
46788709;	46788803;	2;	5;	3603;	Richard Szalay;	75232;
44638856;	44639814;	0;	6;	4151019;	mountain traveller;	4174;
44466072;	44467225;	0;	7;	4151019;	mountain traveller;	4174;
